FID_Maine_,OBJECTID,TOWN,COUNTY,GEOCODE,STATE_ID,MAP_BK_LOT,PARENT,PROP_LOC,PROPLOCNUM,TYPE,FMUPDORG,FMUPDAT,FMSRCORG,GlobalID,created_us,created_da,last_edite,last_edi_1,CNTYCODE,SHAPE_Leng,SHAPE_Area,FID_tl_201,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
182836,198811,Portland,Cumberland,05170,05170_030  H021,030  H021,,00000 PORTLAND PIER,0.000000000000000,,,2011,gpcog,{07E9F93D-BA27-4A19-859B-AF905409E26B},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.001788013207678,0.000000111941867,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186354,202329,Portland,Cumberland,05170,05170_125  N006,125  N006,,00635 FOREST AVE,0.000000000000000,,,2011,gpcog,{696559D6-98D5-4D8C-BCD0-85E3F1F78010},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.000351640523507,0.000000007560199,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186355,202330,Portland,Cumberland,05170,05170_125  N001,125  N001,,00041 ARLINGTON ST,0.000000000000000,,,2011,gpcog,{EC7F41BE-1033-4F02-8222-1C19EE5070FF},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.000719009424797,0.000000028493260,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186357,202332,Portland,Cumberland,05170,05170_125  N002,125  N002,,00611 FOREST AVE,0.000000000000000,,,2011,gpcog,{3B705AAF-DE50-4C56-AD31-3C786B738A91},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.000707590633768,0.000000025830184,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186590,202565,Portland,Cumberland,05170,05170_125  N008,125  N008,,00651 FOREST AVE,0.000000000000000,,,2011,gpcog,{7FC35A30-CCEE-4DA1-A982-5FA69D9A61CC},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.001286770084159,0.000000083087411,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186591,202566,Portland,Cumberland,05170,05170_125  N029,125  N029,,00651 FOREST AVE,0.000000000000000,,,2011,gpcog,{5D1D00F4-18F0-4361-AABB-C67C7091F445},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.000637395617061,0.000000011040507,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186592,202567,Portland,Cumberland,05170,05170_125  N009,125  N009,,00621 FOREST AVE,0.000000000000000,,,2011,gpcog,{F51844FE-0F92-457E-94C3-DE91376D3538},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.001386241120197,0.000000112847647,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186593,202568,Portland,Cumberland,05170,05170_125  N013,125  N013,,00112 WOODFORD ST,0.000000000000000,,,2011,gpcog,{73590E41-5C39-4942-B8EE-432A282E0912},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.001270467133512,0.000000084982135,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186594,202569,Portland,Cumberland,05170,05170_125  N018,125  N018,,00110 WOODFORD ST,0.000000000000000,,,2011,gpcog,{09D2BC1A-2296-4073-B8F7-653009727443},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.000870607714498,0.000000041682060,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
186595,202570,Portland,Cumberland,05170,05170_125  N019,125  N019,,00106 WOODFORD ST,0.000000000000000,,,2011,gpcog,{5219DC1D-945D-46CF-B6D3-4A43B2CE1050},Emily.Pettit@maine.gov_maine,06/12/23,Emily.Pettit@maine.gov_maine,06/12/23,05,0.001003649791083,0.000000061996272,14340,04101,04101,B5,G6350,S,5190554,2335849,+43.6626067,-070.2579490
